CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
0.09375,0.39552536,0.09375,-0.72863387,0.09375,0.50910347,0.09375,-0.61505576,0.09375,0.85086928,0.09375,-0.27328995,0.09375,0.91676055,0.09375,-0.20739868
0.10771704,0.39349267,0.10771704,-0.73066656,0.10771704,0.50664907,0.10771704,-0.61751017,0.10771704,0.84975263,0.10771704,-0.2744066,0.10771704,0.91669402,0.10771704,-0.20746521
0.12665796,0.38982937,0.12665796,-0.73432986,0.12665796,0.50237865,0.12665796,-0.62178058,0.12665796,0.84792361,0.12665796,-0.27623562,0.12665796,0.9165391,0.12665796,-0.20762013
0.140625,0.38714403,0.140625,-0.7370152,0.140625,0.49914814,0.140625,-0.62501109,0.140625,0.84605875,0.140625,-0.27810048,0.140625,0.91644269,0.140625,-0.20771654
0.15459204,0.38415773,0.15459204,-0.7400015,0.15459204,0.4954366,0.15459204,-0.62872263,0.15459204,0.84364422,0.15459204,-0.28051501,0.15459204,0.91625727,0.15459204,-0.20790196
0.17353296,0.37820074,0.17353296,-0.74595849,0.17353296,0.48848576,0.17353296,-0.63567347,0.17353296,0.83919174,0.17353296,-0.28496749,0.17353296,0.91585223,0.17353296,-0.208307
0.1875,0.37446199,0.1875,-0.74969724,0.1875,0.48384892,0.1875,-0.64031031,0.1875,0.83569161,0.1875,-0.28846762,0.1875,0.91555169,0.1875,-0.20860754
0.20146704,0.37044702,0.20146704,-0.75371221,0.20146704,0.47866679,0.20146704,-0.64549245,0.20146704,0.83123526,0.20146704,-0.29292397,0.20146704,0.91497161,0.20146704,-0.20918762
0.22040796,0.36287245,0.22040796,-0.76128678,0.22040796,0.4694235,0.22040796,-0.65473573,0.22040796,0.82345134,0.22040796,-0.30070789,0.22040796,0.91362228,0.22040796,-0.21053695
0.234375,0.35799357,0.234375,-0.76616566,0.234375,0.46314321,0.234375,-0.66101602,0.234375,0.81745041,0.234375,-0.30670882,0.234375,0.91267644,0.234375,-0.21148279
