CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-0.47414756,-0.4320864,-0.47414756,-1.5562456,-0.47414756,-0.39555642,-0.47414756,-1.5197157,-0.47414756,0.074235276,-0.47414756,-1.049924,-0.47414756,0.66740089,-0.47414756,-0.45675834
-0.46875,-0.46925692,-0.46875,-1.5934162,-0.46875,-0.42968744,-0.46875,-1.5538467,-0.46875,0.071013981,-0.46875,-1.0531453,-0.46875,0.69878797,-0.46875,-0.42537126
-0.46335244,-0.49716044,-0.46335244,-1.6213197,-0.46335244,-0.45520595,-0.46335244,-1.5793652,-0.46335244,0.069238727,-0.46335244,-1.0549205,-0.46335244,0.72461798,-0.46335244,-0.39954125
-0.46242881,-0.50189129,-0.46242881,-1.6260505,-0.46242881,-0.45956048,-0.46242881,-1.5837197,-0.46242881,0.068953188,-0.46242881,-1.055206,-0.46242881,0.72893493,-0.46242881,-0.3952243
-0.45703125,-0.52483198,-0.45703125,-1.6489912,-0.45703125,-0.48051886,-0.45703125,-1.6046781,-0.45703125,0.06759711,-0.45703125,-1.0565621,-0.45703125,0.75114167,-0.45703125,-0.37301757
-0.45163369,-0.54287927,-0.45163369,-1.6670385,-0.45163369,-0.49694049,-0.45163369,-1.6210997,-0.45163369,0.066907673,-0.45163369,-1.0572516,-0.45163369,0.76974978,-0.45163369,-0.35440945
-0.45071006,-0.54629383,-0.45071006,-1.6704531,-0.45071006,-0.50006531,-0.45071006,-1.6242245,-0.45071006,0.066792262,-0.45071006,-1.057367,-0.45071006,0.77303833,-0.45071006,-0.3511209
-0.4453125,-0.56186111,-0.4453125,-1.6860203,-0.4453125,-0.51418133,-0.4453125,-1.6383406,-0.4453125,0.066142355,-0.4453125,-1.0580169,-0.4453125,0.78930974,-0.4453125,-0.33484949
-0.43991494,-0.57461679,-0.43991494,-1.698776,-0.43991494,-0.52568212,-0.43991494,-1.6498413,-0.43991494,0.065886392,-0.43991494,-1.0582728,-0.43991494,0.80317265,-0.43991494,-0.32098658
-0.43899131,-0.5771728,-0.43899131,-1.701332,-0.43899131,-0.52800121,-0.43899131,-1.6521604,-0.43899131,0.065855757,-0.43899131,-1.0583035,-0.43899131,0.80571183,-0.43899131,-0.3184474
-0.43359375,-0.58855345,-0.43359375,-1.7127127,-0.43359375,-0.5382376,-0.43359375,-1.6623968,-0.43359375,0.065509977,-0.43359375,-1.0586493,-0.43359375,0.81799443,-0.43359375,-0.3061648
-0.42819619,-0.59822722,-0.42819619,-1.7223865,-0.42819619,-0.54688644,-0.42819619,-1.6710457,-0.42819619,0.065444064,-0.42819619,-1.0587152,-0.42819619,0.82861271,-0.42819619,-0.29554653
-0.42727256,-0.60023192,-0.42727256,-1.7243911,-0.42727256,-0.5486862,-0.42727256,-1.6728454,-0.42727256,0.065453371,-0.42727256,-1.0587059,-0.42727256,0.83061162,-0.42727256,-0.29354761
-0.421875,-0.60910824,-0.421875,-1.7332675,-0.421875,-0.55659245,-0.421875,-1.6807517,-0.421875,0.065248031,-0.421875,-1.0589112,-0.421875,0.84010662,-0.421875,-0.28405261
-0.41647744,-0.61683616,-0.41647744,-1.7409954,-0.41647744,-0.56341267,-0.41647744,-1.6875719,-0.41647744,0.065273924,-0.41647744,-1.0588853,-0.41647744,0.84838635,-0.41647744,-0.27577288
-0.41555381,-0.61844501,-0.41555381,-1.7426042,-0.41555381,-0.56483871,-0.41555381,-1.6889979,-0.41555381,0.065305067,-0.41555381,-1.0588542,-0.41555381,0.84997156,-0.41555381,-0.27418767
-0.41015625,-0.62564955,-0.41015625,-1.7498088,-0.41015625,-0.5711427,-0.41015625,-1.6953019,-0.41015625,0.065171116,-0.41015625,-1.0589881,-0.41015625,0.85741583,-0.41015625,-0.26674341
-0.40475869,-0.63204752,-0.40475869,-1.7562068,-0.40475869,-0.57668125,-0.40475869,-1.7008405,-0.40475869,0.065237933,-0.40475869,-1.0589213,-0.40475869,0.86395245,-0.40475869,-0.26020678
-0.40383506,-0.63338453,-0.40383506,-1.7575438,-0.40383506,-0.5778494,-0.40383506,-1.7020086,-0.40383506,0.065277663,-0.40383506,-1.0588816,-0.40383506,0.86522332,-0.40383506,-0.25893591
-0.3984375,-0.63939597,-0.3984375,-1.7635552,-0.3984375,-0.58302067,-0.3984375,-1.7071799,-0.3984375,0.06517609,-0.3984375,-1.0589831,-0.3984375,0.87111715,-0.3984375,-0.25304209
-0.39303994,-0.64480125,-0.39303994,-1.7689605,-0.39303994,-0.58763243,-0.39303994,-1.7117917,-0.39303994,0.06526096,-0.39303994,-1.0588983,-0.39303994,0.87630137,-0.39303994,-0.24785786
-0.39211631,-0.64592662,-0.39211631,-1.7700859,-0.39211631,-0.58859967,-0.39211631,-1.7127589,-0.39211631,0.06530534,-0.39211631,-1.0588539,-0.39211631,0.87731801,-0.39211631,-0.24684122
-0.38671875,-0.65106557,-0.38671875,-1.7752248,-0.38671875,-0.59298082,-0.38671875,-1.7171401,-0.38671875,0.065218972,-0.38671875,-1.0589403,-0.38671875,0.88199466,-0.38671875,-0.24216457
